,comment,Label
0,"Do not fly Ryanair if you have children! Their website states you are allowed a carry on baby changing bag - yet staff wanted to put my baby’s milk / nappies etc in the hold. I also paid priority boarding to allow me to take on my fold up buggy into the cabin but I was refused this and threatened to be thrown off the flight. My changing bag and buggy were both within restrictions given on Ryanair’s website. Not only that, but when I disputed this, the air crew then refused to serve myself, my 10 month old baby, 2 year old and 3 year old for the entire 4 hour flight. They would not even take our rubbish. I was flying solo with my 3 children and they made our experience so stressful. They are unhelpful, with no understanding or compassion for their passengers. Other passengers were also saying how ridiculous it was given that I had paid for the baggage and I was flying solo. It was my first experience with Ryanair, and my last.",negative
1,"I tried to place booking at 23.03.2022 via ryanair iOS app but got error on payment step, then returned to main screen. After few seconds I was billed and I decide that it was mistake and wait that this withdrawal will cancel. But it was not happened. Than, i try to place booking again and it was success. I ask my bank about first withdrawal, why it was not canceled and they ask me to contact with Ryanair support. I did this and it turned out that in fact in the first case the reservation was placed! But not any information about it. So I  have two identical reservation and ask to refund one of them. Now passed almost two weeks and it still not refunded. I have to spend a lot of time to contact with support and so on. So when you bill me - it is few seconds but to got refund i have to wait weeks.",negative
2," Terrible customer service and non-existent communication As a US resident, I had the bad experience of being stuck in isolation in Italy because of covid. As a consequence, I was unable to make it for my Ryanair flights within Italy. I tried to reach out to the company several time to inform them about my situation. After several attempts using some kind of useless robot on their website and talking to representatives on the phone, they don't seem to have or want to put in place any customer-friendly measures in this already stressful situation. I felt totally helpless and I am socked by how they dealt with the situation. I would recommend you use low-cost airlines other than Ryanair for your next trips.",negative
3,"I bought a 10 kg roll on hand luggage for 24.50€ for both outward and return journeys, when I booked my flights, but hours before leaving I checked my app to see that I was only allowed one small bag and if I brought another bag to the gate I would be charged 69€! Rather than facing a showdown at the gate in the early hours of the morning, I chose not to fly.",negative
5,"The last time I am ever going to fly with them. When arriving at the airport for check in, there was only one member of staff on the relevant desks and so a lengthy wait was needed before we got to speak to them. By the time we did speak with them, she informed us that we had just missed the check in period and each ticket was now to be charged £55 in order to check in. The total of £110 was as expensive as the actual flight tickets, if not more. The late check in was primarily due to the understaffing at the Ryanair counter at Stansted and not to any poor time keeping or organisation on our part. After reluctantly paying this extortionate fee (what other choice did we have?), we then proceeded through security and on to our gate. Once we boarded the plane however, there was than a 1 hr 45 min delay to our flight where we sat on the tarmac and waited. Having been charged £110 just moments earlier for being late and then being delayed for almost 2 hours really angered me. The late check in fee was entirely unnecessary and immensely overpriced in the first place, but what with our flight being delayed, it then also proved to be completely redundant. It seems that I was deemed late and charged, but they can be four or five times as late as I was deemed to be and get away with it.",negative
6,We were travelling with our 1yr old baby. We could not check-in online for some reason. We arrived at the airport 2h10 before but time to queue (very long queue) we arrive at the desk 1h30 before the flight and then we had to pay 110 euros for manual check-in (for what is this 55 euros fees I don't know but does not seems fair). Then we queue (again very long queue at the security check-in) and we run to get to the gate. There someone says we only have a FFP2 masks and need a FFP3 mask. Anyway we just want to get on the flight so we go to buy some FFP3 masks at the nearby shop (which actually are FFP2 but much more thick). We are then allowed to enter the flight and noticed that all of the Ryanair employees on board have a simple mask (same as we had before we were refused). Flight was okay even though the seats are really uncomfortable. Thank god it was only 1h30 flight. Anyway last time I fly with them. I prefer to pay 300 euros more and not have to go through all this.,negative
7,"My wife, myself and our three daughters age 3,5&9 flying back to uk from Faro. My youngest daughter had an accident in the departure lounge and we ended up missing the 20 minute deadline to board the plane by 3 mins. The irony being we’d been sat in the departure lounge waiting for the flight to board for over 30 mins. There was no way they would let us on the plane and they ceremoniously told us this in front of 300 people flying on the adjacent flight. My wife and eldest daughter in tears. My youngest not sure what’s going on. All in all 10 hours later we got back to the UK, Stansted instead of Birmingham. We hired a car at 1am in the morning and drove home to Gloucestershire. I drove to collect my car from Birmingham airport the next day. £900 mistake overall. Ryanair charged us £500 of that just to adjust the 5 tickets regardless of age. The one saving grace was the good will of the passengers that moved their seats to help us sit together. My distain for this airline can only be described in words I can’t possibly write in this review.",negative
8,"Regular Ryanair customer. Flew back from Alicante on Friday 18 th March 2022 into Shannon. Perfect flight and landed 15 minutes early. But wanted to commend a few things. The cabin crew were excellent, very professional. The landing was so smooth I didn’t realise we where on the ground. But I do wish to single out the senior flight attendant. I was carrying some duty free as well as my 10 kg case which was heavy. The steps off the plane were steep which normally I’ll cope with. But I asked this young man if I could leave my case till I get down the steps and then come back up and get it. Not at all he said I’ll take down for you. He was a gentleman. I thanked him and he said it was his pleasure. One final thought it was the first time I heard senior cabin crew thank his colleagues for their help and hard work during flight. Nice touch I thought. I know this man was not Irish but thanked the passengers for flying Ryanair in Irish. Excellent. To be commended. Well done Ryanair customer service.",positive
9,"This was the first time I have flown with Ryanair for years, after previous bad experiences, and I only flew as it was part of a package deal. It’s not that much cheaper than other airlines, which would give a better experience. The boarding process was the worst I have ever experienced. We were second in the priority queue and ended up, passing through the gate and waiting at the bottom steps waiting for a bus for ages, then we were one of the first to board the bus. We then had to wait on the bus at the bottom of the aircraft for ages, and when we got off the bus, surprise surprise we were now much further from the front. This is Ryanair priority boarding. Pretty much everyone on the flight had priority boarding, but it only gets you priority onto the bus. This is not really priority. The staff were very good, the food offerings were poor, and the seat is bolt upright, with no adjustment, and no storage. The seat is only really suitable for an hour or two flight, not four hour’s. We were at the furthest possible gate in Tenerife, and arrived into the furthest possible gate in Dublin. This is typical of Ryanair. The ultimate in no frills.",negative
10,"Worst customer service experience I have ever had. We arrived an hour and a half before departure and went to check in. Ryanair only had two employees. One member of my company and I were denied our COVID certification due to a difference in Italian rules we were unaware of, which was fair, except we were leaving the country to go to the UK where we were in line with the rules. Regardless the staff sent us to the basement to buy a COVID rapid test. Within 20 minutes we were upstairs again with our results, but the two employees had closed the check in counter, after they had told us to run downstairs to get a test and then come back for our boarding passes. We couldn’t get our passes online because it directed us to the ticket counter, but the ticket counter had stranded us. The rest of our party had headed through security while we got our tests and approached the Ryanair staff on that side and told them our dilemma. They told us to obtain our boarding passes online, which we couldn’t do because it directed us to the ticket counter. They told us we had to book new flights because no one was at the check in counter. We were early enough we would have made the flight had someone been at the check in counter to simply print our passes (as we had checked in online). Our party members talking with the employees at the gate talked with them for 50 minutes trying to get them to send someone to log in but they refused. During that conversation we informed the Ryanair representatives that one of the stranded members was prone to seizures and was out of their medication (which was in England. They simply hadn’t brought extra) and needed to be on the flight to get her medication. The staff was unresponsive, with the manager also refusing to get our passes and when told about the seizure situation was told that if they seized “we would have to take them to a hospital”. After no help those of us that were stranded found a hotel and arrived there before the flight took of, as it departed 50 minutes after the scheduled departure time. Absolutely the worst experience. We will never fly Ryanair again.",negative
