,airline_id,comment,title,rating,user_country_id,date,recommend
0,ryanair,"Not Verified |  Do not fly Ryanair if you have children! Their website states you are allowed a carry on baby changing bag - yet staff wanted to put my baby’s milk / nappies etc in the hold. I also paid priority boarding to allow me to take on my fold up buggy into the cabin but I was refused this and threatened to be thrown off the flight. My changing bag and buggy were both within restrictions given on Ryanair’s website. Not only that, but when I disputed this, the air crew then refused to serve myself, my 10 month old baby, 2 year old and 3 year old for the entire 4 hour flight. They would not even take our rubbish. I was flying solo with my 3 children and they made our experience so stressful. They are unhelpful, with no understanding or compassion for their passengers. Other passengers were also saying how ridiculous it was given that I had paid for the baggage and I was flying solo. It was my first experience with Ryanair, and my last.","""they made our experience so stressful""",1,United Kingdom,6th April 2022,no
1,ryanair,"✅ Trip Verified |  I tried to place booking at 23.03.2022 via ryanair iOS app but got error on payment step, then returned to main screen. After few seconds I was billed and I decide that it was mistake and wait that this withdrawal will cancel. But it was not happened. Than, i try to place booking again and it was success. I ask my bank about first withdrawal, why it was not canceled and they ask me to contact with Ryanair support. I did this and it turned out that in fact in the first case the reservation was placed! But not any information about it. So I  have two identical reservation and ask to refund one of them. Now passed almost two weeks and it still not refunded. I have to spend a lot of time to contact with support and so on. So when you bill me - it is few seconds but to got refund i have to wait weeks.","""almost two weeks and it still not refunded""",1,Ukraine,4th April 2022,no
2,ryanair,"✅ Trip Verified |  Terrible customer service and non-existent communication As a US resident, I had the bad experience of being stuck in isolation in Italy because of covid. As a consequence, I was unable to make it for my Ryanair flights within Italy. I tried to reach out to the company several time to inform them about my situation. After several attempts using some kind of useless robot on their website and talking to representatives on the phone, they don't seem to have or want to put in place any customer-friendly measures in this already stressful situation. I felt totally helpless and I am socked by how they dealt with the situation. I would recommend you use low-cost airlines other than Ryanair for your next trips.","""Terrible customer service""",1,United States,3rd April 2022,no
3,ryanair,"✅ Trip Verified |  I bought a 10 kg roll on hand luggage for 24.50€ for both outward and return journeys, when I booked my flights, but hours before leaving I checked my app to see that I was only allowed one small bag and if I brought another bag to the gate I would be charged 69€! Rather than facing a showdown at the gate in the early hours of the morning, I chose not to fly.","""I chose not to fly""",1,Spain,29th March 2022,no
4,ryanair,Not Verified |  Plane is very dirty and some of the staff aren't friendly. They make up rules as you go. We weren't allowed to put our backpacks in the overhead storage bins due to corona but it's fine for hand suitcases to go in there and to sit in a seat that's dirty with dirty marks on the window and the side of the window. We had a return flight and sat in the same plane going to Italy and back again to Finland.. Same dirt as when we flew the first time. There's also no space for you to put your dirt in the front seat and the trays are at a angle that whatever you put on there slides down and the seats are so upright you can't sleep.,"""Plane is very dirty""",3,Finland,25th March 2022,no
5,ryanair,"✅ Trip Verified |  The last time I am ever going to fly with them. When arriving at the airport for check in, there was only one member of staff on the relevant desks and so a lengthy wait was needed before we got to speak to them. By the time we did speak with them, she informed us that we had just missed the check in period and each ticket was now to be charged £55 in order to check in. The total of £110 was as expensive as the actual flight tickets, if not more. The late check in was primarily due to the understaffing at the Ryanair counter at Stansted and not to any poor time keeping or organisation on our part. After reluctantly paying this extortionate fee (what other choice did we have?), we then proceeded through security and on to our gate. Once we boarded the plane however, there was than a 1 hr 45 min delay to our flight where we sat on the tarmac and waited. Having been charged £110 just moments earlier for being late and then being delayed for almost 2 hours really angered me. The late check in fee was entirely unnecessary and immensely overpriced in the first place, but what with our flight being delayed, it then also proved to be completely redundant. It seems that I was deemed late and charged, but they can be four or five times as late as I was deemed to be and get away with it.","""The last time I am ever going to fly with them""",1,United Kingdom,25th March 2022,no
6,ryanair,Not Verified |  We were travelling with our 1yr old baby. We could not check-in online for some reason. We arrived at the airport 2h10 before but time to queue (very long queue) we arrive at the desk 1h30 before the flight and then we had to pay 110 euros for manual check-in (for what is this 55 euros fees I don't know but does not seems fair). Then we queue (again very long queue at the security check-in) and we run to get to the gate. There someone says we only have a FFP2 masks and need a FFP3 mask. Anyway we just want to get on the flight so we go to buy some FFP3 masks at the nearby shop (which actually are FFP2 but much more thick). We are then allowed to enter the flight and noticed that all of the Ryanair employees on board have a simple mask (same as we had before we were refused). Flight was okay even though the seats are really uncomfortable. Thank god it was only 1h30 flight. Anyway last time I fly with them. I prefer to pay 300 euros more and not have to go through all this.,"""last time I fly with them""",1,Belgium,21st March 2022,no
7,ryanair,"✅ Trip Verified |  My wife, myself and our three daughters age 3,5&9 flying back to uk from Faro. My youngest daughter had an accident in the departure lounge and we ended up missing the 20 minute deadline to board the plane by 3 mins. The irony being we’d been sat in the departure lounge waiting for the flight to board for over 30 mins. There was no way they would let us on the plane and they ceremoniously told us this in front of 300 people flying on the adjacent flight. My wife and eldest daughter in tears. My youngest not sure what’s going on. All in all 10 hours later we got back to the UK, Stansted instead of Birmingham. We hired a car at 1am in the morning and drove home to Gloucestershire. I drove to collect my car from Birmingham airport the next day. £900 mistake overall. Ryanair charged us £500 of that just to adjust the 5 tickets regardless of age. The one saving grace was the good will of the passengers that moved their seats to help us sit together. My distain for this airline can only be described in words I can’t possibly write in this review.","""ended up missing the 20 minute deadline""",1,United Kingdom,19th March 2022,no
8,ryanair,"✅ Trip Verified | Regular Ryanair customer. Flew back from Alicante on Friday 18 th March 2022 into Shannon. Perfect flight and landed 15 minutes early. But wanted to commend a few things. The cabin crew were excellent, very professional. The landing was so smooth I didn’t realise we where on the ground. But I do wish to single out the senior flight attendant. I was carrying some duty free as well as my 10 kg case which was heavy. The steps off the plane were steep which normally I’ll cope with. But I asked this young man if I could leave my case till I get down the steps and then come back up and get it. Not at all he said I’ll take down for you. He was a gentleman. I thanked him and he said it was his pleasure. One final thought it was the first time I heard senior cabin crew thank his colleagues for their help and hard work during flight. Nice touch I thought. I know this man was not Irish but thanked the passengers for flying Ryanair in Irish. Excellent. To be commended. Well done Ryanair customer service.","""Well done Ryanair customer service"" ",10,Ireland,19th March 2022,yes
9,ryanair,"✅ Trip Verified | This was the first time I have flown with Ryanair for years, after previous bad experiences, and I only flew as it was part of a package deal. It’s not that much cheaper than other airlines, which would give a better experience. The boarding process was the worst I have ever experienced. We were second in the priority queue and ended up, passing through the gate and waiting at the bottom steps waiting for a bus for ages, then we were one of the first to board the bus. We then had to wait on the bus at the bottom of the aircraft for ages, and when we got off the bus, surprise surprise we were now much further from the front. This is Ryanair priority boarding. Pretty much everyone on the flight had priority boarding, but it only gets you priority onto the bus. This is not really priority. The staff were very good, the food offerings were poor, and the seat is bolt upright, with no adjustment, and no storage. The seat is only really suitable for an hour or two flight, not four hour’s. We were at the furthest possible gate in Tenerife, and arrived into the furthest possible gate in Dublin. This is typical of Ryanair. The ultimate in no frills.","""The ultimate in no frills""",1,Ireland,12th March 2022,no
