,airline_id,name,country
0,-1,Unknown,\N
1,1,Private flight,
2,2,135 Airways,United States
3,3,1Time Airline,South Africa
4,4,2 Sqn No 1 Elementary Flying Training School,United Kingdom
5,5,213 Flight Unit,Russia
6,6,223 Flight Unit State Airline,Russia
7,7,224th Flight Unit,Russia
8,8,247 Jet Ltd,United Kingdom
9,9,3D Aviation,United States
10,10,40-Mile Air,United States
11,11,4D Air,Thailand
12,12,611897 Alberta Limited,Canada
13,13,Ansett Australia,Australia
14,14,Abacus International,Singapore
15,15,Abelag Aviation,Belgium
16,16,Army Air Corps,United Kingdom
17,17,Aero Aviation Centre Ltd.,Canada
18,18,Aero Servicios Ejecutivos Internacionales,Mexico
19,19,Aero Biniza,Mexico
20,20,Aero Albatros,Spain
21,21,Aigle Azur,France
22,22,Aloha Airlines,United States
23,23,Alaska Island Air,United States
24,24,American Airlines,United States
25,25,Aviation Management Corporation,United States
26,26,Atlantis Airlines (USA),United States
27,27,Aerovista Airlines,United Arab Emirates
28,28,Asiana Airlines,Republic of Korea
29,29,Askari Aviation,Pakistan
30,30,Australia Asia Airlines,Australia
31,31,Astro Air International,United States
32,32,Afriqiyah Airways,Libya
33,33,Afrinat International Airlines,Gambia
34,34,Afric'air Express,Ivory Coast
35,35,Allegiant Air,United States
36,36,Angus Aviation,Canada
37,37,Artem-Avia,Ukraine
38,38,African Business and Transportations,Democratic Republic of the Congo
39,39,Aban Air,Iran
40,40,Aerial Oy,Finland
41,41,Abakan-Avia,Russia
42,42,ABSA - Aerolinhas Brasileiras,Brazil
43,43,Abaet,Brazil
44,44,Alberta Citylink,Canada
45,45,APSA Colombia,Colombia
46,46,Aerovias Bueno,Colombia
47,47,Aerocenter,AEROCENTER
48,48,Antrak Air,Ghana
49,49,Airborne Express,United States
50,50,ABX Air,United States
51,51,ATA Brasil,Brazil
52,52,Avcard Services,United Kingdom
53,53,Academy Airlines,United States
54,54,Aero Comondu,Mexico
55,55,Astral Aviation,Kenya
56,56,Air Cess,Liberia
57,57,Air Aurora,United States
58,58,Air Cargo Transportation System,Kenya
59,59,Air Charter Service,United Kingdom
60,60,Aero Asia International,Pakistan
61,61,Air Charters,Canada
62,62,Air Togo,Togo
63,63,Air Somalia,Somali Republic
64,64,Atlas Cargo Lines,Morocco
65,65,Airservices Australia,Australia
66,66,Advance Leasing Company,United States
67,67,Aztec Worldwide Airlines,United States
68,68,Air Tindi,Canadian Territories
69,69,Antonov Airlines,Ukraine
70,70,Air Atlantic Dominicana,Dominican Republic
71,71,Advanced Air Co.,Japan
72,72,Ada Air,Albania
73,73,Aerea Flying Training Organization,Spain
74,74,Audeli Air,Spain
75,75,Abicar,Ivory Coast
76,76,ADC Airlines,Nigeria
77,77,Aero Dynamics,United Kingdom
78,78,Aerolineas Dominicanas,Dominican Republic
79,79,Aerodienst GmbH,Germany
80,80,Aerodiplomatic,Mexico
81,81,Aerodyne,United States
82,82,Avion Taxi,Canada
83,83,Adria Airways,Slovenia
84,84,Aviones de Sonora,Mexico
85,85,Air Dorval,Canada
86,86,Airdeal Oy,Finland
87,87,Advance Air Charters,Canada
88,88,Air Andaman,Thailand
89,89,Anderson Aviation,United States
90,90,Air Europa,Spain
91,91,Air Southwest Ltd.,Canada
92,92,Air Special,Czech Republic
93,93,Aero Benin,Benin
94,94,Aerocesar,AEROCESAR
95,95,Aerotrans Airlines,Russia
96,96,Aegean Airlines,Greece
97,97,Aerofumigaciones Sam,Chile
98,98,Aeroexpreso Interamericano,Colombia
99,99,Air Express,Tanzania
100,100,Aerocon,Bolivia
101,101,Aero Madrid,Spain
102,102,Aeroenlaces Nacionales,Mexico
103,103,Aeroservicios Ejecutivos Del Occidente,Mexico
104,104,Aerotec,Spain
105,105,Air Atlantique,United Kingdom
106,106,Air Europe,Italy
107,107,Air Alma,Canada
108,108,Air Express,Sweden
109,109,Alaska Central Express,United States
110,110,ACES Colombia,Colombia
111,111,Aeronautical Radio of Thailand,Thailand
112,112,Astraeus,United Kingdom
113,113,Aeroventas,Mexico
114,114,Aerosvit Airlines,Ukraine
115,115,Airway Express,United States
116,116,Air Italy,Italy
117,117,Aerial Transit Company,United States
118,118,Alfa Air,Czech Republic
119,119,American Falcon,Argentina
120,120,Alliance Airlines,Australia
121,121,Air Universal,Sierra Leone
122,122,Auvia Air,Indonesia
123,123,African West Air,Senegal
124,124,Airfast Indonesia,Indonesia
125,125,Ariana Afghan Airlines,Afghanistan
126,126,Air Fecteau,Canada
127,127,Africaone,Uganda
128,128,Alliance,Uganda
129,129,Africa Air Links,Sierra Leone
130,130,Aeroflot Russian Airlines,Russia
131,131,Aero Empresa Mexicana,Mexico
132,132,Air Bosna,Bosnia and Herzegovina
133,133,Air Bravo,Uganda
134,134,Air Brasd'or,Canada
135,135,Air 500,Canada
136,136,Alba Servizi Aerotrasporti,Italy
137,137,Air France,France
138,138,Air Partner,United Kingdom
139,139,Air Caledonie International,France
140,140,Air Caledonia,Canada
141,141,Air Guam,United States
142,142,Air Gabon,Gabon
143,143,Air Data,United Kingdom
144,144,Air Afrique Vacancies,Ivory Coast
145,145,Air Cargo America,United States
146,146,Air Salone,Sierra Leone
147,147,Air-Angol,Angola
148,148,Air Nigeria,Nigeria
149,149,Air Cargo Carriers,United States
150,150,Air Samarkand,Uzbekistan
151,151,Air Senegal International,Senegal
152,152,Air Sandy,Canada
153,153,Air Namibia,Namibia
154,154,Air Intersalonika,Greece
155,155,Air Anatolia,Turkey
156,156,Air Saigon,Vietnam
157,157,Afrique Regional Airways,Ivory Coast
158,158,Airfreight Express,United Kingdom
159,159,Africa Chartered Services,Nigeria
160,160,Africa Freight Services,Zambia
161,161,Aeronaves Del Centro,Venezuela
162,162,Air Service Gabon,Gabon
163,163,Arab Agricultural Aviation Company,Egypt
164,164,Atlantic Gulf Airlines,United States
165,165,Aerolitoral,Mexico
166,166,Algoma Airways,Canada
167,167,Altagna,France
168,168,Angola Air Charter,Angola
169,169,Angola Air Charter,Angola
170,170,AERFI Group,Ireland
171,171,Aerogala,Chile
172,172,Amadeus Global Travel Distribution,Spain
173,173,Angara Airlines,Russia
174,174,Air Glaciers,Switzerland
175,175,Aero Gambia,Gambia
176,176,Aviogenex,Serbia
177,177,Atlantic Coast Airlines,United States
178,178,Aero Barloz,Mexico
179,179,Aeroper,Peru
180,180,Atlas Blue,Morocco
181,181,Aero Banobras,Mexico
182,182,Aero Flight Service,United States
183,183,Agrolet-Mci,Slovakia
184,184,Air Alpha Greenland,Denmark
185,185,Azal Avia Cargo,Azerbaijan
186,186,Airport Helicopter Basel,AIRPORT HELICOPTER
187,187,Aeroservices Corporate,France
188,188,Aspen Helicopters,United States
189,189,Aerochago Airlines,Dominican Republic
190,190,Airplanes Holdings,Ireland
191,191,Air Hong Kong,Hong Kong
192,192,Aerochiapas,Mexico
193,193,Air Adriatic,Croatia
194,194,Air Viggi San Raffaele,Italy
195,195,ABC Air Hungary,Hungary
196,196,Aeromist-Kharkiv,Ukraine
197,197,Azerbaijan Airlines,Azerbaijan
