,name,country_id,active
0,Honiara International Airport,SB,yes
1,Momote Airport,PG,yes
2,Port Moresby Jacksons International Airport,PG,yes
3,Keflavik International Airport,IS,yes
4,Edmonton International Airport,CA,yes
5,Halifax / Stanfield International Airport,CA,yes
6,Ottawa Macdonald-Cartier International Airport,CA,yes
7,Quebec Jean Lesage International Airport,CA,yes
8,Montreal / Pierre Elliott Trudeau International Airport,CA,yes
9,Vancouver International Airport,CA,yes
10,Winnipeg / James Armstrong Richardson International Airport,CA,yes
11,Calgary International Airport,CA,yes
12,St. John's International Airport,CA,yes
13,Lester B. Pearson International Airport,CA,yes
14,Houari Boumediene Airport,DZ,yes
15,Kotoka International Airport,GH,yes
16,Nnamdi Azikiwe International Airport,NG,yes
17,Murtala Muhammed International Airport,NG,yes
18,Diori Hamani International Airport,NE,yes
19,Tunis Carthage International Airport,TN,yes
20,Brussels Airport,BE,yes
21,Berlin Brandenburg Airport,DE,yes
22,Frankfurt am Main Airport,DE,yes
23,Hamburg Helmut Schmidt Airport,DE,yes
24,Cologne Bonn Airport,DE,yes
25,Düsseldorf Airport,DE,yes
26,Munich Airport,DE,yes
27,Nuremberg Airport,DE,yes
28,Leipzig/Halle Airport,DE,yes
29,Stuttgart Airport,DE,yes
30,Hannover Airport,DE,yes
31,Lennart Meri Tallinn Airport,EE,yes
32,Helsinki Vantaa Airport,FI,yes
33,Belfast International Airport,GB,yes
34,Birmingham International Airport,GB,yes
35,Manchester Airport,GB,yes
36,London Luton Airport,GB,yes
37,London Gatwick Airport,GB,yes
38,London Heathrow Airport,GB,yes
39,Glasgow International Airport,GB,yes
40,Edinburgh Airport,GB,yes
41,London Stansted Airport,GB,yes
42,Amsterdam Airport Schiphol,NL,yes
43,Eindhoven Airport,NL,yes
44,Dublin Airport,IE,yes
45,Shannon Airport,IE,yes
46,Billund Airport,DK,yes
47,Copenhagen Kastrup Airport,DK,yes
48,Luxembourg-Findel International Airport,LU,yes
49,"Bergen Airport, Flesland",NO,yes
50,"Oslo Airport, Gardermoen",NO,yes
51,"Tromsø Airport, Langnes",NO,yes
52,"Trondheim Airport, Værnes",NO,yes
53,"Stavanger Airport, Sola",NO,yes
54,Gdańsk Lech Wałęsa Airport,PL,yes
55,Kraków John Paul II International Airport,PL,yes
56,Warsaw Chopin Airport,PL,yes
57,Gothenburg-Landvetter Airport,SE,yes
58,Stockholm-Arlanda Airport,SE,yes
59,Riga International Airport,LV,yes
60,Vilnius International Airport,LT,yes
61,Cape Town International Airport,ZA,yes
62,King Shaka International Airport,ZA,yes
63,OR Tambo International Airport,ZA,yes
64,Sir Seretse Khama International Airport,BW,yes
65,King Mswati III International Airport,SZ,yes
66,Sir Seewoosagur Ramgoolam International Airport,MU,yes
67,Kenneth Kaunda International Airport,ZM,yes
68,Roland Garros Airport,RE,yes
69,Ivato Airport,MG,yes
70,Quatro de Fevereiro International Airport,AO,yes
71,Maputo Airport,MZ,yes
72,Seychelles International Airport,SC,yes
73,N'Djamena International Airport,TD,yes
74,Robert Gabriel Mugabe International Airport,ZW,yes
75,Hosea Kutako International Airport,,yes
76,Ndjili International Airport,CD,yes
77,Modibo Keita International Airport,ML,yes
78,Banjul International Airport,GM,yes
79,Fuerteventura Airport,ES,yes
80,Gran Canaria Airport,ES,yes
81,César Manrique-Lanzarote Airport,ES,yes
82,Tenerife Sur Airport,ES,yes
83,Lungi International Airport,SL,yes
84,Roberts International Airport,LR,yes
85,Mohammed V International Airport,MA,yes
86,Blaise Diagne International Airport,SN,yes
87,Nouakchott–Oumtounsy International Airport,MR,yes
88,Amílcar Cabral International Airport,CV,yes
89,Addis Ababa Bole International Airport,ET,yes
90,Djibouti-Ambouli Airport,DJ,yes
91,Cairo International Airport,EG,yes
92,Hurghada International Airport,EG,yes
93,Sharm El Sheikh International Airport,EG,yes
94,Juba International Airport,SS,yes
95,Jomo Kenyatta International Airport,KE,yes
96,Moi International Airport,KE,yes
97,Tripoli International Airport,LY,yes
98,Kigali International Airport,RW,yes
99,Khartoum International Airport,SD,yes
100,Julius Nyerere International Airport,TZ,yes
101,Abeid Amani Karume International Airport,TZ,yes
102,Entebbe International Airport,UG,yes
103,Joint Base Andrews,US,no
104,Hartsfield Jackson Atlanta International Airport,US,yes
105,Austin Bergstrom International Airport,US,yes
106,Nashville International Airport,US,yes
107,Logan International Airport,US,yes
108,Buffalo Niagara International Airport,US,yes
109,Baltimore/Washington International Thurgood Marshall Airport,US,yes
110,Cleveland Hopkins International Airport,US,yes
111,Charlotte Douglas International Airport,US,yes
112,Camarillo International Airport,US,no
113,John Glenn Columbus International Airport,US,yes
114,Cincinnati Northern Kentucky International Airport,US,yes
115,Ronald Reagan Washington National Airport,US,yes
116,Denver International Airport,US,yes
117,Dallas Fort Worth International Airport,US,yes
118,Detroit Metropolitan Wayne County Airport,US,yes
119,Newark Liberty International Airport,US,yes
120,Fort Lauderdale Hollywood International Airport,US,yes
121,Washington Dulles International Airport,US,yes
122,George Bush Intercontinental Houston Airport,US,yes
123,Indianapolis International Airport,US,yes
124,Jacksonville International Airport,US,yes
125,John F Kennedy International Airport,US,yes
126,McCarran International Airport,US,yes
127,Los Angeles International Airport,US,yes
128,La Guardia Airport,US,yes
129,Kansas City International Airport,US,yes
130,Orlando International Airport,US,yes
131,Chicago Midway International Airport,US,yes
132,Memphis International Airport,US,yes
